"ID IMG","Label","Taxon","Taxon nom scientifique","Date image","Heure image","Date Ref","Heure Ref","X1","Y1","X2","Y2","XM","YM","Polygone","User Nom","User ID","Mission","Observatoire"
"6716","MOMAR_20140727180039.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/27","18:00:39","2014/07/27","18:00:00","815","839","826","792","821","816","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6720","MOMAR_20140728180036.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/28","18:00:36","2014/07/28","18:00:00","1095","826","1001","867","1048","847","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6721","MOMAR_20140729000035.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/29","00:00:35","2014/07/29","00:00:00","1044","733","1011","734","1028","734","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6722","MOMAR_20140729060034.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/29","06:00:34","2014/07/29","06:00:00","1038","333","1023","303","1031","318","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6722","MOMAR_20140729060034.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/29","06:00:34","2014/07/29","06:00:00","1038","333","1023","303","1031","318","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6723","MOMAR_20140729120033.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/29","12:00:33","2014/07/29","12:00:00","784","792","865","814","825","803","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6723","MOMAR_20140729120033.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/29","12:00:33","2014/07/29","12:00:00","791","806","829","805","810","806","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6723","MOMAR_20140729120033.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/29","12:00:33","2014/07/29","12:00:00","1556","811","1565","798","1561","805","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6723","MOMAR_20140729120033.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/29","12:00:33","2014/07/29","12:00:00","790","815","833","806","812","811","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6723","MOMAR_20140729120033.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/29","12:00:33","2014/07/29","12:00:00","796","811","829","798","813","805","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6729","MOMAR_20140731000028.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/31","00:00:28","2014/07/31","00:00:00","1058","934","1058","888","1058","911","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6729","MOMAR_20140731000028.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/31","00:00:28","2014/07/31","00:00:00","905","621","906","643","906","632","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6730","MOMAR_20140731060028.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/31","06:00:28","2014/07/31","06:00:00","692","1028","708","1031","700","1030","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6730","MOMAR_20140731060028.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/31","06:00:28","2014/07/31","06:00:00","706","1030","721","1039","714","1035","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6730","MOMAR_20140731060028.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/31","06:00:28","2014/07/31","06:00:00","700","1027","722","1041","711","1034","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6731","MOMAR_20140731120028.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/31","12:00:28","2014/07/31","12:00:00","924","562","944","556","934","559","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6731","MOMAR_20140731120028.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/31","12:00:28","2014/07/31","12:00:00","940","550","918","560","929","555","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6731","MOMAR_20140731120028.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/07/31","12:00:28","2014/07/31","12:00:00","937","554","940","567","939","561","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6732","MOMAR_20140801000025.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/08/01","00:00:25","2014/08/01","00:00:00","998","582","955","569","977","576","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6732","MOMAR_20140801000025.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/08/01","00:00:25","2014/08/01","00:00:00","994","584","958","576","976","580","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6732","MOMAR_20140801000025.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/08/01","00:00:25","2014/08/01","00:00:00","964","574","985","585","975","580","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6732","MOMAR_20140801000025.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/08/01","00:00:25","2014/08/01","00:00:00","965","572","996","580","981","576","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6733","MOMAR_20140801060025.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/08/01","06:00:25","2014/08/01","06:00:00","1080","819","1018","871","1049","845","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6733","MOMAR_20140801060025.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/08/01","06:00:25","2014/08/01","06:00:00","770","1053","767","1027","769","1040","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6736","MOMAR_20140802000022.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/08/02","00:00:22","2014/08/02","00:00:00","881","825","841","850","861","838","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6736","MOMAR_20140802000022.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/08/02","00:00:22","2014/08/02","00:00:00","745","865","787","848","766","857","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6739","MOMAR_20140802180019.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/08/02","18:00:19","2014/08/02","18:00:00","762","1019","752","1072","757","1046","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
"6739","MOMAR_20140802180019.jpg","Crabe bythograeidé","Segonzacia mesatlantica","2014/08/02","18:00:19","2014/08/02","18:00:00","745","1073","757","1014","751","1044","0","Cborremans","1","La marée à 1700 m de fond ?","EMSO_AZORES"
